code_id,question_num,toolName,key,feedbackIndex,value
10090983,1,AI-Default,speed,,1
10090983,1,AI-Default,line,1,1
10090983,1,AI-Default,line,2,1
10090983,1,AI-Default,accurate,,1
10090983,1,AI-Default,line,4,1
10090983,1,AI-Default,helpful,,1
10090983,1,AI-Default,line,6,1
10090983,1,AI-Default,line,7,1
10090983,1,AI-Default,line,8,1
10090983,1,AI-Default,line,9,1
10090983,1,AI-Default,line,10,1
10090983,1,AI-Default,line,3,1
10090983,1,AI-Default,line,5,1
10090658,1,AI-Default,accurate,,1
10090658,1,AI-Default,line,1,1
10090658,1,AI-Default,line,2,1
10090658,1,AI-Default,line,3,1
10090658,1,AI-Default,line,4,1
10090658,1,AI-Default,helpful,,1
10090658,1,AI-Default,line,6,1
10090658,1,AI-Default,line,7,1
10090658,1,AI-Default,line,8,1
10090658,1,AI-Default,speed,,1
10090658,1,AI-Default,line,10,1
10090658,1,AI-Default,line,11,1
10090658,1,AI-Default,line,12,1
10090658,1,AI-Default,line,13,1
10090658,1,AI-Default,line,14,1
10090658,1,AI-Default,line,15,1
10090658,1,AI-Default,line,16,1
10090658,1,AI-Default,line,5,1
10090658,1,AI-Default,line,9,1
10057926,2,TA (Manual),line,1,1
10057926,2,TA (Manual),speed,,0
10057926,2,TA (Manual),accurate,,0
10057926,2,TA (Manual),helpful,,0
10071618,2,TA (Manual),accurate,,1
10071618,2,TA (Manual),speed,,1
10071618,2,TA (Manual),helpful,,1
10071618,2,TA (Manual),line,1,1
10090221,1,AI-Default,accurate,,1
10090221,1,AI-Default,helpful,,1
10090221,1,AI-Default,speed,,1
10090221,1,AI-Default,line,3,1
10090221,1,AI-Default,line,4,1
10090221,1,AI-Default,line,5,1
10090221,1,AI-Default,line,1,1
10090221,1,AI-Default,line,2,0
10089705,1,AI-Default,accurate,,1
10089705,1,AI-Default,helpful,,1
10089705,1,AI-Default,line,2,1
10089705,1,AI-Default,line,3,1
10089705,1,AI-Default,speed,,1
10089705,1,AI-Default,line,1,1
